,Unnamed: 0,Survey,Year,Quarter,DateTime,ShootLat,ShootLong,Depth,Gadus_morhua_juvenile,Gadus_morhua_adult,YearQuarter,dist_norm,timenorm,attnorm0,attnorm1,attnorm2,geometry,clusters
0,5143,NS-IBTS,1991,1,07-01-1991 03:19:00 PM,51.0833,2.0333,30,0.2870407598959782,23.572860592037465,1,1.0350960111693595,2.0350960111693595,1.0,1.0,1.0,POINT (2.0333 51.0833),3
1,5164,NS-IBTS,1991,1,08-01-1991 07:45:00 AM,53.3,3.85,23,0.0,42.52472850255961,1,1.0897094197952493,2.0897094197952493,1.0,1.0,1.0,POINT (3.85 53.3),3
2,5165,NS-IBTS,1991,1,08-01-1991 08:46:00 AM,53.3333,4.0167,24,0.0,10.725614970039674,1,1.0624702329113638,2.0624702329113638,1.0,1.0,1.0,POINT (4.0167 53.3333),3
3,5166,NS-IBTS,1991,1,08-01-1991 11:15:00 AM,53.5333,4.1167,28,0.0,0.0,1,1.1821607257341666,2.1821607257341666,1.0,1.0,1.0,POINT (4.1167 53.5333),3
4,5167,NS-IBTS,1991,1,08-01-1991 02:17:00 PM,53.85,4.6833,38,0.0,0.0,1,1.0166000000000004,2.0166000000000004,1.0,1.0,1.0,POINT (4.6833 53.85),3
5,5183,NS-IBTS,1991,1,10-01-1991 08:30:00 AM,55.2833,4.5167,45,0.0,51.987286341611345,1,1.0686618525820504,2.0686618525820504,1.0,1.0,1.0,POINT (4.5167 55.2833),3
6,5184,NS-IBTS,1991,1,10-01-1991 09:46:00 AM,55.3667,4.7,45,0.0,0.0,1,1.1537255996898368,2.153725599689837,1.0,1.0,1.0,POINT (4.7 55.3667),3
7,5185,NS-IBTS,1991,1,10-01-1991 12:48:00 PM,55.6333,5.25,47,0.0,15.350970345331811,1,1.118922369636666,2.1189223696366657,1.0,1.0,1.0,POINT (5.25 55.6333),3
8,5186,NS-IBTS,1991,1,10-01-1991 02:42:00 PM,55.7833,5.6,47,0.0,74.92427155276133,1,1.0833600023992305,2.0833600023992305,1.0,1.0,1.0,POINT (5.6 55.7833),3
9,5198,NS-IBTS,1991,1,11-01-1991 07:38:00 AM,56.0167,5.7333,48,0.0,47.41054234317785,1,1.0471640753116165,2.0471640753116165,1.0,1.0,1.0,POINT (5.7333 56.0167),3
10,5199,NS-IBTS,1991,1,11-01-1991 08:42:00 AM,56.0833,5.8667,45,0.0,26.76467400598111,1,1.0545513519539147,2.054551351953915,1.0,1.0,1.0,POINT (5.8667 56.0833),3
11,5200,NS-IBTS,1991,1,11-01-1991 09:49:00 AM,56.1333,6.05,45,0.10435845962403263,16.963760545028382,1,1.0621309906568372,2.0621309906568372,1.0,1.0,1.0,POINT (6.05 56.1333),3
12,5201,NS-IBTS,1991,1,11-01-1991 12:36:00 PM,56.15,6.6167,37,0.0,0.0,1,1.0375616826034177,2.0375616826034175,1.0,1.0,1.0,POINT (6.6167 56.15),3
13,5202,NS-IBTS,1991,1,11-01-1991 03:01:00 PM,55.9333,6.5333,38,0.0,99.61845754281059,1,1.0678859337418292,2.067885933741829,1.0,1.0,1.0,POINT (6.5333 55.9333),3
14,5219,NS-IBTS,1991,1,12-01-1991 07:35:00 AM,55.8833,6.9,35,0.0,7.724584223044701,1,1.2269920042644678,2.226992004264468,1.0,1.0,1.0,POINT (6.9 55.8833),3
15,5220,NS-IBTS,1991,1,12-01-1991 08:40:00 AM,55.9167,7.0333,29,0.2531272895857041,82.73442322611162,1,1.150915738079234,2.150915738079234,1.0,1.0,1.0,POINT (7.0333 55.9167),3
16,5221,NS-IBTS,1991,1,12-01-1991 09:56:00 AM,56.0167,7.1167,27,0.19078566295511284,15.637545233399885,1,1.041546359647988,2.041546359647988,1.0,1.0,1.0,POINT (7.1167 56.0167),3
17,5222,NS-IBTS,1991,1,12-01-1991 12:34:00 PM,56.1,7.6,28,0.02289695943187548,44.29767644525303,1,1.222933465410646,2.2229334654106463,1.0,1.0,1.0,POINT (7.6 56.1),3
18,5223,NS-IBTS,1991,1,12-01-1991 02:48:00 PM,55.8333,7.5667,16,0.6141958457497525,26.870836022671753,1,1.283885751667815,2.283885751667815,1.0,1.0,1.0,POINT (7.5667 55.8333),3
19,5248,NS-IBTS,1991,1,13-01-1991 07:29:00 AM,54.1333,8.0667,22,2.268119869749793,33.359312263383174,1,1.052715178079941,2.052715178079941,1.0,1.0,1.0,POINT (8.066700000000001 54.1333),3
20,5249,NS-IBTS,1991,1,13-01-1991 08:32:00 AM,54.0833,7.95,32,0.3238965007827293,7.586597068830226,1,1.1175463312911131,2.117546331291113,1.0,1.0,1.0,POINT (7.95 54.0833),3
21,5250,NS-IBTS,1991,1,13-01-1991 09:46:00 AM,54.0333,7.7667,35,0.0,24.091805343469485,1,1.0332999999999997,2.0332999999999997,1.0,1.0,1.0,POINT (7.7667 54.0333),3
22,5251,NS-IBTS,1991,1,13-01-1991 12:39:00 PM,53.9667,7.2667,25,0.0,25.232756078862447,1,1.1433798451666073,2.1433798451666073,1.0,1.0,1.0,POINT (7.2667 53.9667),3
23,5252,NS-IBTS,1991,1,13-01-1991 12:53:00 PM,53.1167,1.75,32,0.0,0.0,1,1.0277218325512558,2.027721832551256,1.0,1.0,1.0,POINT (1.75 53.1167),3
24,5253,NS-IBTS,1991,1,13-01-1991 02:47:00 PM,53.85,7.0167,20,0.7525753901635021,8.46207822340181,1,1.0853240880408341,2.085324088040834,1.0,1.0,1.0,POINT (7.0167 53.85),3
25,5275,NS-IBTS,1991,1,14-01-1991 07:35:00 AM,54.2333,6.7167,35,0.0,11.138712888777102,1,1.1013848608027843,2.101384860802784,1.0,1.0,1.0,POINT (6.7167 54.2333),3
26,5276,NS-IBTS,1991,1,14-01-1991 09:32:00 AM,54.0833,6.4167,30,0.0,124.29153858494631,1,1.1458823155834865,2.1458823155834867,1.0,1.0,1.0,POINT (6.4167 54.0833),3
27,5277,NS-IBTS,1991,1,14-01-1991 12:17:00 PM,53.8667,6.3,24,2.4448446699086386,19.89354199730918,1,1.0333000000000006,2.0333000000000006,1.0,1.0,1.0,POINT (6.3 53.8667),3
28,5278,NS-IBTS,1991,1,14-01-1991 02:29:00 PM,53.8333,6.6333,18,0.8821532874029392,32.38224222197908,1,1.0989845442480795,2.0989845442480792,1.0,1.0,1.0,POINT (6.6333 53.8333),3
29,5295,NS-IBTS,1991,1,15-01-1991 07:40:00 AM,55.2833,5.3833,39,0.0,11.996886371523148,1,1.1269601906110718,2.1269601906110718,1.0,1.0,1.0,POINT (5.3833 55.2833),3
30,5296,NS-IBTS,1991,1,15-01-1991 09:33:00 AM,55.1,5.6333,40,0.5679317845520768,12.44224175713099,1,1.0110421918114108,2.011042191811411,1.0,1.0,1.0,POINT (5.6333 55.1),3
31,5297,NS-IBTS,1991,1,15-01-1991 12:39:00 PM,54.7667,5.6333,40,0.0,0.0,1,1.0372529193486906,2.0372529193486906,1.0,1.0,1.0,POINT (5.6333 54.7667),3
32,5298,NS-IBTS,1991,1,15-01-1991 03:14:00 PM,54.7167,5.1667,40,0.0,0.0,1,1.0373423352242461,2.0373423352242463,1.0,1.0,1.0,POINT (5.1667 54.7167),3
33,5307,NS-IBTS,1991,1,16-01-1991 07:45:00 AM,54.8167,4.5167,43,0.0,20.52524474459218,1,1.023546761985465,2.023546761985465,1.0,1.0,1.0,POINT (4.5167 54.8167),3
34,5308,NS-IBTS,1991,1,16-01-1991 09:50:00 AM,54.6833,4.6167,44,0.0,26.015579918360284,1,1.0445714033882707,2.0445714033882707,1.0,1.0,1.0,POINT (4.6167 54.6833),3
35,5309,NS-IBTS,1991,1,16-01-1991 12:29:00 PM,54.4167,4.6167,44,0.0,18.10021535674812,1,1.0984939084410814,2.0984939084410814,1.0,1.0,1.0,POINT (4.6167 54.4167),3
36,5310,NS-IBTS,1991,1,16-01-1991 12:41:00 PM,53.95,5.45,31,0.8681967445332013,6.9327268926405505,1,1.1675255204439028,2.1675255204439026,1.0,1.0,1.0,POINT (5.45 53.95),3
37,5311,NS-IBTS,1991,1,16-01-1991 03:01:00 PM,54.1333,4.4167,44,0.10435845962403263,38.81885317075751,1,1.1025304832720497,2.1025304832720497,1.0,1.0,1.0,POINT (4.4167 54.1333),3
38,5318,NS-IBTS,1991,1,17-01-1991 07:40:00 AM,54.3333,5.6,38,0.0,0.0,1,1.0651006912405707,2.0651006912405707,1.0,1.0,1.0,POINT (5.6 54.3333),3
39,5319,NS-IBTS,1991,1,17-01-1991 09:40:00 AM,54.15,5.4833,38,0.0,26.015579918360284,1,1.0236173664916308,2.0236173664916306,1.0,1.0,1.0,POINT (5.4833 54.15),3
40,5320,NS-IBTS,1991,1,17-01-1991 02:57:00 PM,53.7333,5.25,26,0.2487230659936827,29.436262990521836,1,1.0127800625976537,2.0127800625976535,1.0,1.0,1.0,POINT (5.25 53.7333),3
41,5336,NS-IBTS,1991,1,20-01-1991 07:44:00 AM,52.6,4.3,19,0.0,30.002135484563084,1,1.0236173664916308,2.0236173664916306,1.0,1.0,1.0,POINT (4.3 52.6),3
42,5337,NS-IBTS,1991,1,20-01-1991 09:37:00 AM,52.75,3.9667,24,0.0,79.61732129214077,1,1.047164075311616,2.047164075311616,1.0,1.0,1.0,POINT (3.9667 52.75),3
