,Survey,Year,Quarter,DateTime,ShootLat,ShootLong,Depth,Gadus_morhua_juvenile,Gadus_morhua_adult,YearQuarter
5143,NS-IBTS,1991,1,07-01-1991 03:19:00 PM,51.0833,2.0333,30,0.2870407598959782,23.57286059203746,1
5164,NS-IBTS,1991,1,08-01-1991 07:45:00 AM,53.3,3.85,23,0.0,42.52472850255961,1
5165,NS-IBTS,1991,1,08-01-1991 08:46:00 AM,53.3333,4.0167,24,0.0,10.725614970039674,1
5166,NS-IBTS,1991,1,08-01-1991 11:15:00 AM,53.5333,4.1167,28,0.0,0.0,1
5167,NS-IBTS,1991,1,08-01-1991 02:17:00 PM,53.85,4.6833,38,0.0,0.0,1
5183,NS-IBTS,1991,1,10-01-1991 08:30:00 AM,55.2833,4.5167,45,0.0,51.98728634161134,1
5184,NS-IBTS,1991,1,10-01-1991 09:46:00 AM,55.3667,4.7,45,0.0,0.0,1
5185,NS-IBTS,1991,1,10-01-1991 12:48:00 PM,55.6333,5.25,47,0.0,15.350970345331813,1
5186,NS-IBTS,1991,1,10-01-1991 02:42:00 PM,55.7833,5.6,47,0.0,74.92427155276133,1
5198,NS-IBTS,1991,1,11-01-1991 07:38:00 AM,56.0167,5.7333,48,0.0,47.41054234317785,1
5199,NS-IBTS,1991,1,11-01-1991 08:42:00 AM,56.0833,5.8667,45,0.0,26.764674005981114,1
5200,NS-IBTS,1991,1,11-01-1991 09:49:00 AM,56.1333,6.05,45,0.10435845962403262,16.963760545028382,1
5201,NS-IBTS,1991,1,11-01-1991 12:36:00 PM,56.15,6.6167,37,0.0,0.0,1
5202,NS-IBTS,1991,1,11-01-1991 03:01:00 PM,55.9333,6.5333,38,0.0,99.6184575428106,1
5219,NS-IBTS,1991,1,12-01-1991 07:35:00 AM,55.8833,6.9,35,0.0,7.724584223044701,1
5220,NS-IBTS,1991,1,12-01-1991 08:40:00 AM,55.9167,7.0333,29,0.2531272895857041,82.73442322611163,1
5221,NS-IBTS,1991,1,12-01-1991 09:56:00 AM,56.0167,7.1167,27,0.19078566295511284,15.637545233399885,1
5222,NS-IBTS,1991,1,12-01-1991 12:34:00 PM,56.1,7.6,28,0.022896959431875478,44.29767644525303,1
5223,NS-IBTS,1991,1,12-01-1991 02:48:00 PM,55.8333,7.5667,16,0.6141958457497525,26.870836022671753,1
5248,NS-IBTS,1991,1,13-01-1991 07:29:00 AM,54.1333,8.0667,22,2.268119869749793,33.35931226338317,1
5249,NS-IBTS,1991,1,13-01-1991 08:32:00 AM,54.0833,7.95,32,0.3238965007827293,7.586597068830226,1
5250,NS-IBTS,1991,1,13-01-1991 09:46:00 AM,54.0333,7.7667,35,0.0,24.091805343469492,1
5251,NS-IBTS,1991,1,13-01-1991 12:39:00 PM,53.9667,7.2667,25,0.0,25.232756078862447,1
5252,NS-IBTS,1991,1,13-01-1991 12:53:00 PM,53.1167,1.75,32,0.0,0.0,1
5253,NS-IBTS,1991,1,13-01-1991 02:47:00 PM,53.85,7.0167,20,0.7525753901635021,8.46207822340181,1
5275,NS-IBTS,1991,1,14-01-1991 07:35:00 AM,54.2333,6.7167,35,0.0,11.138712888777102,1
5276,NS-IBTS,1991,1,14-01-1991 09:32:00 AM,54.0833,6.4167,30,0.0,124.29153858494632,1
5277,NS-IBTS,1991,1,14-01-1991 12:17:00 PM,53.8667,6.3,24,2.4448446699086386,19.89354199730918,1
5278,NS-IBTS,1991,1,14-01-1991 02:29:00 PM,53.8333,6.6333,18,0.8821532874029392,32.38224222197908,1
5295,NS-IBTS,1991,1,15-01-1991 07:40:00 AM,55.2833,5.3833,39,0.0,11.996886371523148,1
5296,NS-IBTS,1991,1,15-01-1991 09:33:00 AM,55.1,5.6333,40,0.5679317845520768,12.44224175713099,1
5297,NS-IBTS,1991,1,15-01-1991 12:39:00 PM,54.7667,5.6333,40,0.0,0.0,1
5298,NS-IBTS,1991,1,15-01-1991 03:14:00 PM,54.7167,5.1667,40,0.0,0.0,1
5307,NS-IBTS,1991,1,16-01-1991 07:45:00 AM,54.8167,4.5167,43,0.0,20.52524474459218,1
5308,NS-IBTS,1991,1,16-01-1991 09:50:00 AM,54.6833,4.6167,44,0.0,26.015579918360284,1
5309,NS-IBTS,1991,1,16-01-1991 12:29:00 PM,54.4167,4.6167,44,0.0,18.10021535674812,1
5310,NS-IBTS,1991,1,16-01-1991 12:41:00 PM,53.95,5.45,31,0.8681967445332013,6.93272689264055,1
5311,NS-IBTS,1991,1,16-01-1991 03:01:00 PM,54.1333,4.4167,44,0.10435845962403262,38.81885317075751,1
5318,NS-IBTS,1991,1,17-01-1991 07:40:00 AM,54.3333,5.6,38,0.0,0.0,1
5319,NS-IBTS,1991,1,17-01-1991 09:40:00 AM,54.15,5.4833,38,0.0,26.015579918360284,1
5320,NS-IBTS,1991,1,17-01-1991 02:57:00 PM,53.7333,5.25,26,0.2487230659936827,29.436262990521833,1
5336,NS-IBTS,1991,1,20-01-1991 07:44:00 AM,52.6,4.3,19,0.0,30.002135484563084,1
5337,NS-IBTS,1991,1,20-01-1991 09:37:00 AM,52.75,3.9667,24,0.0,79.61732129214076,1
5338,NS-IBTS,1991,1,20-01-1991 12:44:00 PM,52.4667,4.0833,20,0.0,0.0,1
5339,NS-IBTS,1991,1,20-01-1991 03:02:00 PM,52.3667,3.85,22,0.0,18.149083182758883,1
5348,NS-IBTS,1991,1,21-01-1991 07:39:00 AM,51.6667,2.1333,43,0.0,19.886748851958437,1
5349,NS-IBTS,1991,1,21-01-1991 07:54:00 AM,61.2333,0.4833,160,0.0,7.217123296593037,1
5350,NS-IBTS,1991,1,21-01-1991 10:28:00 AM,51.9,1.8167,34,0.0,16.782780557038613,1
5351,NS-IBTS,1991,1,21-01-1991 11:33:00 AM,60.7667,0.5833,140,0.0,1.6915994829367755,1
5352,NS-IBTS,1991,1,21-01-1991 01:21:00 PM,52.0667,1.9167,26,0.0,54.57167351939426,1
5353,NS-IBTS,1991,1,21-01-1991 02:23:00 PM,60.7,1.15,140,0.0,75.87047971340593,1
5354,NS-IBTS,1991,1,21-01-1991 03:30:00 PM,52.2,2.1333,46,0.0,14.837313513447306,1
5355,NS-IBTS,1991,1,21-01-1991 05:45:00 PM,61.05,1.2333,140,0.0,0.0,1
5365,NS-IBTS,1991,1,22-01-1991 07:44:00 AM,53.4667,0.9,19,0.5795149416457708,0.0,1
5366,NS-IBTS,1991,1,22-01-1991 09:13:00 AM,60.3167,2.3667,100,0.0,33.97256534256466,1
5367,NS-IBTS,1991,1,22-01-1991 12:23:00 PM,53.8167,0.85,35,0.16777365743105202,3.633983071411564,1
5368,NS-IBTS,1991,1,22-01-1991 12:50:00 PM,60.5833,3.0667,154,0.048124108166934736,12.926124829429398,1
5369,NS-IBTS,1991,1,22-01-1991 02:26:00 PM,53.9,1.2167,34,0.048124108166934736,0.0,1
5370,NS-IBTS,1991,1,22-01-1991 03:46:00 PM,60.6167,2.6167,108,0.0,13.366190373429818,1
5371,NS-IBTS,1991,1,22-01-1991 07:41:00 PM,61.0667,2.4333,140,0.0,42.38222340692412,1
5372,NS-IBTS,1991,1,23-01-1991 07:47:00 AM,54.2167,0.2167,57,0.4533923393775068,12.391195921568901,1
5373,NS-IBTS,1991,1,23-01-1991 10:24:00 AM,54.4833,0.0,62,1.2185055423829567,28.540720197093563,1
5374,NS-IBTS,1991,1,23-01-1991 11:10:00 AM,60.1333,3.15,147,0.0,0.0,1
5375,NS-IBTS,1991,1,23-01-1991 12:53:00 PM,54.7667,-0.3167,63,0.21963773691719504,15.072144727537978,1
5376,NS-IBTS,1991,1,23-01-1991 02:20:00 PM,59.7667,3.1167,129,0.0,46.43904974134658,1
5377,NS-IBTS,1991,1,23-01-1991 03:20:00 PM,54.8333,0.0167,70,0.6641727675619027,49.14697167276975,1
5378,NS-IBTS,1991,1,23-01-1991 05:22:00 PM,59.6667,2.4833,110,0.0,0.0,1
5379,NS-IBTS,1991,1,24-01-1991 07:27:00 AM,55.4,6.5,40,0.0,0.0,1
5380,NS-IBTS,1991,1,24-01-1991 07:51:00 AM,55.4167,-0.6333,82,0.048124108166934736,5.945527819961146,1
5381,NS-IBTS,1991,1,24-01-1991 08:00:00 AM,60.2167,1.6667,107,0.9102384689474106,35.034756839991736,1
5382,NS-IBTS,1991,1,24-01-1991 09:55:00 AM,55.3667,-1.1,98,0.0,0.0,1
5383,NS-IBTS,1991,1,24-01-1991 10:13:00 AM,55.3833,7.2833,15,0.1601195870976927,41.467113136118215,1
